scene,factor,target,n,pearson_r,pearson_p,spearman_r,abs_pearson
baseline_fixed_window,dir_consistent,ret_5,106440,0.1604,0.0,0.1867,0.1604
baseline_fixed_window,dir_consistent,ret_10,106090,0.1105,1.8474782385375866e-285,0.1267,0.1105
baseline_fixed_window,position_in_structure,ret_20,80151,-0.0934,9.303310278213594e-155,-0.1664,0.0934
baseline_fixed_window,position_in_structure,ret_5,81103,-0.0899,3.899637735775552e-145,-0.1736,0.0899
baseline_fixed_window,position_in_structure,ret_10,80865,-0.088,8.438673502001133e-139,-0.1685,0.088
baseline_fixed_window,event_index,ret_5,106440,0.0661,2.3111321368451567e-103,0.0576,0.0661
baseline_fixed_window,score_trend_total,ret_5,106440,0.0641,3.4686293927949403e-97,0.0144,0.0641
baseline_fixed_window,event_seq,ret_5,106440,0.0614,1.5653278702145302e-89,0.0527,0.0614
baseline_fixed_window,amount,ret_20,105274,-0.0529,4.500334303212782e-66,-0.1851,0.0529
baseline_fixed_window,event_index,ret_10,106090,0.0528,1.979937350113611e-66,0.0319,0.0528
baseline_fixed_window,breakout_quality_score,ret_5,106440,0.0524,1.1512351858770783e-65,0.0125,0.0524
baseline_fixed_window,vol_record_days,ret_20,105274,-0.0516,6.411864959877781e-63,-0.0859,0.0516
baseline_fixed_window,event_seq,ret_10,106090,0.0502,4.335481097536565e-60,0.028,0.0502
baseline_fixed_window,score_volume_total,ret_20,105274,-0.0477,4.308995665871255e-54,-0.1053,0.0477
baseline_fixed_window,upper_wick_ratio,ret_5,106440,-0.0474,5.248328984556128e-54,-0.0335,0.0474
baseline_fixed_window,atr_raw,ret_20,90119,-0.045,1.4765139995246515e-41,-0.0885,0.045
baseline_fixed_window,dir_consistent,ret_20,105274,0.0441,1.4107001995217547e-46,0.0326,0.0441
baseline_fixed_window,vol_zscore,ret_10,88568,-0.0426,6.274992011247843e-37,-0.0759,0.0426
baseline_fixed_window,range_width_atr,ret_10,90935,0.0412,1.973287704804487e-35,0.1055,0.0412
baseline_fixed_window,upper,ret_20,90119,-0.0395,1.5594593195214188e-32,-0.0783,0.0395
baseline_fixed_window,vol_zscore,ret_5,88918,-0.0393,9.475609215438062e-32,-0.0719,0.0393
baseline_fixed_window,score_candle_total,ret_5,106440,0.039,4.2593963155692005e-37,0.0346,0.039
baseline_fixed_window,lower,ret_20,90119,-0.0379,4.5615493479914916e-30,-0.0765,0.0379
baseline_fixed_window,score_trend_total,ret_20,105274,-0.0364,3.0727541012562223e-32,-0.0918,0.0364
baseline_fixed_window,breakout_quality_score,ret_20,105274,-0.0356,8.154829475163604e-31,-0.0873,0.0356
baseline_fixed_window,vol_record_days,ret_10,106090,-0.0354,1.0013436011119317e-30,-0.0523,0.0354
baseline_fixed_window,rope_slope_atr_5,ret_20,90119,-0.034,1.7555063400320333e-24,-0.066,0.034
baseline_fixed_window,nearest_high,ret_20,82199,-0.0339,2.284861897210299e-22,-0.0602,0.0339
baseline_fixed_window,high,ret_20,105274,-0.0325,5.742426647823358e-26,-0.0601,0.0325
baseline_fixed_window,nearest_low,ret_20,86212,-0.0325,1.3585100120119334e-21,-0.0636,0.0325
baseline_fixed_window,atr_raw,ret_5,91285,-0.0322,2.1113719111821716e-22,-0.0592,0.0322
baseline_fixed_window,close,ret_20,105274,-0.0316,1.0049996732392958e-24,-0.0588,0.0316
baseline_fixed_window,vol,ret_20,105274,-0.0316,1.2615315775775993e-24,-0.13,0.0316
baseline_fixed_window,body_to_range,ret_5,106440,0.0314,1.1553757392609743e-24,0.0304,0.0314
baseline_fixed_window,open,ret_20,105274,-0.0304,5.524055818687723e-23,-0.056,0.0304
baseline_fixed_window,rope,ret_20,105274,-0.0301,1.563971740865808e-22,-0.0565,0.0301
baseline_fixed_window,amount,ret_10,106090,-0.03,1.602866380125887e-22,-0.1312,0.03
baseline_fixed_window,low,ret_20,105274,-0.0298,3.489268960236887e-22,-0.0552,0.0298
baseline_fixed_window,vol_zscore,ret_20,87752,-0.0297,1.2105571694341444e-18,-0.053,0.0297
baseline_fixed_window,atr_raw,ret_10,90935,-0.0292,1.151453060101999e-18,-0.062,0.0292
baseline_fixed_window,upper_wick_ratio,ret_10,106090,-0.0283,3.207012377142704e-20,-0.0217,0.0283
